timestamp,bottle,file,decision
20230421,b_08,20230421_00022,ok
20230421,b_08,20230421_00024,ok
20230421,b_10,20230421_00028,ok
20230421,b_10,20230421_00029,ok
20230421,b_10,20230421_00030,ok
20230421,b_23,20230421_00068,ok
20230421,b_23,20230421_00069,ok
20230421,b_27,20230421_00081,ok
20230424,b_08,20230424_00022,ok
20230424,b_10,20230424_00028,ok
20230424,b_10,20230424_00030,ok
20230424,b_27,20230424_00079,ok
20230424,b_31,20230424_00091,moving
20230428,b_08,20230428_00024,ok
20230428,b_10,20230428_00028,ok
20230428,b_10,20230428_00029,ok
20230428,b_10,20230428_00030,ok
20230428,b_27,20230428_00080,ok
20230512,b_24,20230512_00072,ok
20230512,b_25,20230512_00075,ok
20230512,b_29,20230512_00086,shaken
20230517,b_10,20230517_00030,ok
20230517,b_19,20230517_00055,moving
20230517,b_24,20230517_00071,ok
20230517,b_27,20230517_00081,ok
