timestamp,video,file,bottle,decision
20221109,46,20221109_00046,b_16,ok
20221109,47,20221109_00047,b_16,ok
20221109,48,20221109_00048,b_16,ok
20221109,88,20221109_00088,b_30,ok
20221109,89,20221109_00089,b_30,ok
20221109,90,20221109_00090,b_30,ok
20221121,13,20221121_00013,b_05,ok
20221121,14,20221121_00014,b_05,ok
20221121,15,20221121_00015,b_05,ok
20221123,25,20221123_00025,b_09,ok
20221123,26,20221123_00026,b_09,ok
20221123,27,20221123_00027,b_09,ok
20221125,34,20221125_00034,b_12,ok
20221125,35,20221125_00035,b_12,shaken
20221125,36,20221125_00036,b_12,ok
20221205,91,20221205_00091,b_31,moving
20221205,92,20221205_00092,b_31,ok
20221205,93,20221205_00093,b_31,ok
20221209,94,20221209_00094,b_32,moving
20221209,95,20221209_00095,b_32,ok
20221209,96,20221209_00096,b_32,ok
20221212,91,20221212_00091,b_31,moving
20221212,92,20221212_00092,b_31,ok
20221212,93,20221212_00093,b_31,ok
20221226,49,20221226_00049,b_17,ok
20221226,50,20221226_00050,b_17,ok
20221226,51,20221226_00051,b_17,ok
20230104,16,20230104_00016,b_06,ok
20230104,17,20230104_00017,b_06,ok
20230104,18,20230104_00018,b_06,ok
20230113,91,20230113_00091,b_31,ok
20230113,92,20230113_00092,b_31,ok
20230113,93,20230113_00093,b_31,ok
20230120,46,20230120_00046,b_16,ok
20230120,47,20230120_00047,b_16,ok
20230120,48,20230120_00048,b_16,ok
20230120,82,20230120_00082,b_28,moving
20230120,83,20230120_00083,b_28,ok
20230120,84,20230120_00084,b_28,ok
20230120,94,20230120_00094,b_32,ok
20230120,95,20230120_00095,b_32,ok
20230120,96,20230120_00096,b_32,ok
20230213,71,20230213_00071,b_24,ok
20230213,72,20230213_00072,b_24,ok
20230526,79,20230526_00079,b_27,moving
20230526,80,20230526_00080,b_27,ok
20230526,81,20230526_00081,b_27,ok
20230529,88,20230529_00088,b_30,moving
20230529,89,20230529_00089,b_30,ok
20230529,90,20230529_00090,b_30,ok
20230609,88,20230609_00088,b_30,moving
20230609,89,20230609_00089,b_30,ok
20230609,90,20230609_00090,b_30,ok
20230612,94,20230612_00094,b_32,moving
20230612,95,20230612_00095,b_32,ok
20230612,96,20230612_00096,b_32,ok
20230707,1,20230707_00001,b_01,ok
20230707,2,20230707_00002,b_01,ok
20230707,3,20230707_00003,b_01,ok
20230721,61,20230721_00061,b_21,moving
20230721,62,20230721_00062,b_21,ok
20230721,63,20230721_00063,b_21,ok
