timestamp,bottle,file,decision
20221121,b_32,20221121_00094,moving
20221128,b_32,20221128_00094,moving
20221128,b_32,20221128_00095,moving
20221212,b_05,20221212_00013,ok
20221212,b_08,20221212_00022,ok
20221212,b_14,20221212_00040,ok
20221212,b_28,20221212_00082,moving
20221214,b_05,20221214_00013,ok
20221214,b_28,20221214_00082,ok
20221216,b_04,20221216_00010,ok
20221216,b_05,20221216_00013,ok
20221216,b_10,20221216_00028,ok
20221216,b_11,20221216_00031,ok
20221216,b_24,20221216_00070,ok
20221216,b_32,20221216_00094,ok
20221219,b_13,20221219_00037,ok
20221219,b_20,20221219_00058,ok
20221219,b_25,20221219_00073,ok
20221221,b_05,20221221_00014,ok
20221221,b_18,20221221_00052,ok
20221221,b_25,20221221_00073,ok
20221223,b_17,20221223_00049,ok
20221223,b_20,20221223_00058,ok
20221226,b_17,20221226_00049,ok
20221228,b_17,20221228_00051,ok
20221228,b_29,20221228_00085,ok
20230104,b_20,20230104_00060,ok
20230109,b_02,20230109_00004,moving
20230109,b_17,20230109_00049,ok
20230111,b_18,20230111_00053,ok
20230111,b_20,20230111_00058,ok
20230111,b_28,20230111_00083,ok
20230113,b_28,20230113_00082,ok
20230118,b_28,20230118_00083,ok
20230123,b_20,20230123_00058,ok
20230130,b_23,20230130_00067,moving
20230203,b_31,20230203_00093,moving
20230210,b_25,20230210_00073,ok
20230306,b_08,20230306_00022,ok
20230306,b_31,20230306_00091,moving
20230315,b_08,20230315_00022,ok
20230324,b_08,20230324_00022,ok
20230324,b_27,20230324_00079,ok
20230324,b_27,20230324_00081,ok
20230327,b_22,20230327_00064,moving
20230331,b_08,20230331_00024,ok
20230331,b_10,20230331_00030,ok
20230331,b_27,20230331_00080,ok
20230403,b_27,20230403_00079,ok
20230403,b_27,20230403_00080,ok
20230405,b_10,20230405_00028,ok
20230405,b_10,20230405_00029,ok
20230405,b_27,20230405_00081,ok
20230407,b_10,20230407_00029,ok
20230407,b_23,20230407_00067,ok
20230407,b_27,20230407_00080,ok
20230410,b_08,20230410_00022,ok
20230410,b_23,20230410_00067,ok
20230410,b_23,20230410_00069,ok
20230410,b_27,20230410_00079,ok
20230412,b_10,20230412_00030,ok
20230414,b_10,20230414_00029,ok
20230414,b_10,20230414_00030,ok
20230414,b_27,20230414_00079,ok
20230414,b_27,20230414_00080,ok
20230417,b_10,20230417_00030,ok
20230417,b_20,20230417_00058,moving
20230417,b_23,20230417_00067,moving
20230419,b_10,20230419_00029,ok
20230419,b_10,20230419_00030,ok
20230426,b_10,20230426_00028,ok
20230426,b_10,20230426_00030,ok
20230501,b_10,20230501_00029,ok
20230501,b_27,20230501_00079,ok
20230503,b_10,20230503_00030,ok
20230505,b_10,20230505_00028,shaken
20230505,b_10,20230505_00030,ok
20230508,b_10,20230508_00028,ok
20230515,b_05,20230515_00013,ok
20230515,b_08,20230515_00023,ok
20230515,b_21,20230515_00061,ok
20230522,b_10,20230522_00028,ok
20230522,b_27,20230522_00079,moving
20230526,b_22,20230526_00064,moving
20230526,b_24,20230526_00070,ok
20230529,b_10,20230529_00028,ok
20230605,b_21,20230605_00061,moving
20230607,b_06,20230607_00017,ok
20230609,b_02,20230609_00004,moving
20230609,b_05,20230609_00013,moving
20230609,b_11,20230609_00031,ok
20230609,b_24,20230609_00071,ok
20230614,b_06,20230614_00017,ok
20230614,b_06,20230614_00018,ok
20230628,b_06,20230628_00016,ok
20230630,b_15,20230630_00043,ok
20230630,b_27,20230630_00079,ok
20230707,b_06,20230707_00016,ok
20230707,b_06,20230707_00017,ok
20230710,b_06,20230710_00018,ok
20230710,b_11,20230710_00031,ok
20230710,b_24,20230710_00070,ok
20230712,b_24,20230712_00070,ok
20230714,b_06,20230714_00018,ok
20230717,b_32,20230717_00094,moving
20230719,b_10,20230719_00028,moving
20230721,b_17,20230721_00049,moving
20230724,b_06,20230724_00016,moving
20230724,b_11,20230724_00033,ok
20230726,b_06,20230726_00016,ok
20230726,b_06,20230726_00018,ok
20230726,b_11,20230726_00033,ok
20230728,b_06,20230728_00016,ok
20230728,b_06,20230728_00017,ok
20230728,b_11,20230728_00031,ok
20230728,b_11,20230728_00033,ok
20230731,b_06,20230731_00017,ok
20230731,b_06,20230731_00018,ok
20230802,b_06,20230802_00016,ok
20230802,b_06,20230802_00018,ok
20230807,b_06,20230807_00016,ok
20230807,b_11,20230807_00031,ok
20230807,b_22,20230807_00064,moving_other
20230809,b_06,20230809_00017,ok
