magnification,timestamp,day,file,decision
16,20221107,0,20221107_00113,ok
16,20221107,0,20221107_00140,ok
16,20221109,2,20221109_00105,ok
16,20221109,2,20221109_00107,ok
16,20221109,2,20221109_00156,ok
16,20221109,2,20221109_00172,ok
16,20221109,2,20221109_00173,ok
16,20221111,4,20221111_00134,ok
16,20221111,4,20221111_00192,ok
16,20221116,9,20221116_00107,ok
16,20221116,9,20221116_00117,ok
16,20221116,9,20221116_00181,ok
16,20221118,11,20221118_00101,ok
16,20221118,11,20221118_00112,ok
16,20221118,11,20221118_00140,ok
16,20221118,11,20221118_00141,ok
16,20221118,11,20221118_00177,ok
16,20221118,11,20221118_00189,ok
16,20221121,14,20221121_00104,ok
16,20221121,14,20221121_00108,ok
16,20221121,14,20221121_00164,ok
16,20221121,14,20221121_00185,ok
16,20221121,14,20221121_00187,ok
16,20221123,16,20221123_00104,ok
16,20221123,16,20221123_00126,ok
16,20221125,18,20221125_00155,ok
16,20221125,18,20221125_00192,ok
16,20221130,23,20221130_00105,ok
16,20221130,23,20221130_00144,ok
16,20221130,23,20221130_00148,ok
16,20221130,23,20221130_00153,ok
16,20221202,25,20221202_00149,ok
16,20221202,25,20221202_00168,ok
16,20221202,25,20221202_00182,ok
16,20221205,28,20221205_00129,ok
16,20221205,28,20221205_00148,ok
16,20221205,28,20221205_00173,ok
16,20221205,28,20221205_00184,ok
16,20221207,30,20221207_00195,ok
16,20221209,32,20221209_00105,ok
16,20221209,32,20221209_00118,ok
16,20221209,32,20221209_00160,ok
16,20221209,32,20221209_00186,ok
16,20221212,35,20221212_00119,ok
16,20221212,35,20221212_00180,ok
16,20221214,37,20221214_00102,ok
16,20221214,37,20221214_00134,ok
16,20221214,37,20221214_00135,ok
16,20221214,37,20221214_00138,ok
16,20221214,37,20221214_00170,ok
16,20221214,37,20221214_00177,ok
16,20221214,37,20221214_00178,ok
16,20221214,37,20221214_00181,ok
16,20221219,42,20221219_00105,ok
16,20221219,42,20221219_00114,ok
16,20221219,42,20221219_00117,ok
16,20221219,42,20221219_00146,ok
16,20221221,44,20221221_00130,ok
16,20221221,44,20221221_00134,ok
16,20221221,44,20221221_00182,ok
16,20221223,46,20221223_00101,ok
16,20221223,46,20221223_00115,ok
16,20221226,49,20221226_00101,ok
16,20221226,49,20221226_00121,ok
16,20221226,49,20221226_00154,ok
16,20221228,51,20221228_00122,ok
16,20221228,51,20221228_00124,ok
16,20221230,53,20221230_00110,ok
16,20221230,53,20221230_00157,ok
16,20221230,53,20221230_00158,ok
16,20221230,53,20221230_00161,ok
16,20230102,56,20230102_00101,ok
16,20230102,56,20230102_00118,ok
16,20230102,56,20230102_00182,ok
16,20230104,58,20230104_00102,ok
16,20230104,58,20230104_00112,ok
16,20230104,58,20230104_00189,ok
16,20230106,60,20230106_00122,ok
16,20230106,60,20230106_00146,ok
16,20230106,60,20230106_00153,ok
16,20230106,60,20230106_00159,ok
16,20230106,60,20230106_00192,ok
16,20230111,65,20230111_00105,ok
16,20230113,67,20230113_00121,ok
16,20230113,67,20230113_00162,ok
16,20230118,72,20230118_00122,ok
16,20230118,72,20230118_00162,ok
16,20230120,74,20230120_00150,ok
16,20230120,74,20230120_00180,ok
16,20230120,74,20230120_00196,ok
16,20230127,81,20230127_00137,ok
16,20230127,81,20230127_00150,ok
16,20230127,81,20230127_00178,ok
16,20230130,84,20230130_00127,ok
16,20230130,84,20230130_00194,ok
16,20230203,88,20230203_00112,ok
16,20230203,88,20230203_00176,moving
16,20230206,91,20230206_00143,ok
16,20230208,93,20230208_00112,ok
16,20230208,93,20230208_00124,ok
16,20230208,93,20230208_00156,ok
16,20230208,93,20230208_00182,ok
16,20230208,93,20230208_00194,ok
16,20230210,95,20230210_00104,ok
16,20230210,95,20230210_00108,ok
16,20230210,95,20230210_00129,ok
16,20230210,95,20230210_00135,ok
16,20230210,95,20230210_00168,ok
16,20230210,95,20230210_00188,ok
16,20230215,100,20230215_00133,ok
16,20230215,100,20230215_00195,ok
16,20230217,102,20230217_00139,ok
16,20230217,102,20230217_00171,ok
16,20230217,102,20230217_00187,ok
16,20230220,105,20230220_00102,ok
16,20230220,105,20230220_00122,ok
16,20230220,105,20230220_00161,ok
16,20230222,107,20230222_00142,ok
16,20230222,107,20230222_00144,ok
16,20230222,107,20230222_00182,ok
16,20230222,107,20230222_00185,ok
16,20230227,112,20230227_00111,ok
16,20230301,114,20230301_00110,ok
16,20230301,114,20230301_00145,ok
16,20230301,114,20230301_00169,ok
16,20230303,116,20230303_00143,ok
16,20230303,116,20230303_00161,ok
16,20230303,116,20230303_00179,ok
16,20230308,121,20230308_00124,ok
16,20230308,121,20230308_00176,ok
16,20230310,123,20230310_00143,ok
16,20230310,123,20230310_00154,ok
16,20230310,123,20230310_00155,ok
16,20230313,126,20230313_00140,ok
16,20230313,126,20230313_00153,ok
16,20230313,126,20230313_00160,ok
16,20230313,126,20230313_00192,ok
16,20230315,128,20230315_00138,ok
16,20230315,128,20230315_00149,ok
16,20230315,128,20230315_00156,ok
16,20230317,130,20230317_00124,ok
16,20230317,130,20230317_00136,ok
16,20230317,130,20230317_00150,ok
16,20230317,130,20230317_00156,ok
16,20230317,130,20230317_00176,ok
16,20230320,133,20230320_00110,ok
16,20230320,133,20230320_00152,ok
16,20230320,133,20230320_00167,ok
16,20230322,135,20230322_00159,ok
16,20230324,137,20230324_00112,ok
16,20230324,137,20230324_00124,ok
16,20230324,137,20230324_00153,ok
16,20230327,140,20230327_00124,ok
16,20230327,140,20230327_00139,ok
16,20230327,140,20230327_00146,ok
16,20230327,140,20230327_00162,ok
16,20230331,144,20230331_00125,ok
16,20230331,144,20230331_00137,ok
16,20230403,147,20230403_00103,ok
16,20230403,147,20230403_00127,ok
16,20230403,147,20230403_00167,ok
16,20230403,147,20230403_00173,ok
16,20230405,149,20230405_00109,ok
16,20230405,149,20230405_00114,ok
16,20230405,149,20230405_00142,ok
16,20230410,154,20230410_00124,ok
16,20230410,154,20230410_00129,ok
16,20230410,154,20230410_00192,ok
16,20230412,156,20230412_00136,ok
16,20230412,156,20230412_00144,ok
16,20230412,156,20230412_00176,ok
16,20230412,156,20230412_00180,ok
16,20230414,158,20230414_00196,ok
16,20230417,161,20230417_00159,ok
16,20230417,161,20230417_00176,ok
16,20230419,163,20230419_00117,ok
16,20230419,163,20230419_00120,ok
16,20230419,163,20230419_00152,ok
16,20230419,163,20230419_00196,ok
16,20230426,170,20230426_00101,ok
16,20230426,170,20230426_00157,ok
16,20230501,175,20230501_00111,ok
16,20230501,175,20230501_00112,ok
16,20230501,175,20230501_00138,ok
16,20230501,175,20230501_00195,ok
16,20230503,177,20230503_00135,ok
16,20230503,177,20230503_00161,ok
16,20230505,179,20230505_00142,ok
16,20230505,179,20230505_00188,ok
16,20230505,179,20230505_00194,ok
16,20230508,182,20230508_00154,ok
16,20230508,182,20230508_00179,ok
16,20230508,182,20230508_00182,ok
16,20230508,182,20230508_00185,ok
16,20230515,189,20230515_00108,ok
16,20230515,189,20230515_00154,ok
16,20230515,189,20230515_00167,ok
16,20230515,189,20230515_00188,ok
16,20230519,193,20230519_00102,ok
16,20230519,193,20230519_00143,ok
16,20230519,193,20230519_00151,ok
16,20230519,193,20230519_00155,ok
16,20230519,193,20230519_00156,ok
16,20230519,193,20230519_00171,ok
16,20230519,193,20230519_00192,ok
16,20230522,196,20230522_00139,ok
16,20230522,196,20230522_00160,ok
16,20230524,198,20230524_00190,ok
16,20230526,200,20230526_00154,ok
16,20230526,200,20230526_00175,ok
16,20230529,203,20230529_00171,ok
16,20230529,203,20230529_00174,ok
16,20230529,203,20230529_00195,ok
16,20230531,205,20230531_00144,ok
16,20230531,205,20230531_00162,ok
16,20230605,210,20230605_00148,ok
16,20230605,210,20230605_00173,ok
16,20230605,210,20230605_00180,ok
16,20230605,210,20230605_00188,ok
16,20230607,212,20230607_00117,ok
16,20230609,214,20230609_00109,ok
16,20230609,214,20230609_00182,ok
16,20230612,217,20230612_00142,ok
16,20230614,219,20230614_00137,ok
16,20230614,219,20230614_00158,ok
16,20230623,228,20230623_00157,ok
16,20230623,228,20230623_00185,ok
16,20230626,231,20230626_00125,ok
16,20230626,231,20230626_00186,ok
16,20230628,233,20230628_00152,ok
16,20230628,233,20230628_00159,ok
16,20230630,235,20230630_00130,ok
16,20230630,235,20230630_00131,ok
16,20230630,235,20230630_00145,ok
16,20230630,235,20230630_00151,ok
16,20230630,235,20230630_00173,ok
16,20230630,235,20230630_00185,ok
16,20230703,238,20230703_00114,ok
16,20230703,238,20230703_00164,ok
16,20230705,240,20230705_00106,ok
16,20230705,240,20230705_00192,ok
16,20230705,240,20230705_00193,ok
16,20230707,242,20230707_00101,ok
16,20230707,242,20230707_00107,ok
16,20230707,242,20230707_00135,ok
16,20230710,245,20230710_00133,ok
16,20230710,245,20230710_00140,ok
16,20230710,245,20230710_00149,ok
16,20230710,245,20230710_00176,ok
16,20230710,245,20230710_00181,ok
16,20230712,247,20230712_00104,ok
16,20230712,247,20230712_00117,ok
16,20230712,247,20230712_00136,ok
16,20230712,247,20230712_00166,ok
16,20230712,247,20230712_00176,ok
16,20230714,249,20230714_00154,ok
16,20230714,249,20230714_00161,ok
16,20230714,249,20230714_00171,ok
16,20230717,252,20230717_00110,ok
16,20230717,252,20230717_00144,ok
16,20230717,252,20230717_00150,ok
16,20230717,252,20230717_00172,ok
16,20230719,254,20230719_00117,ok
16,20230719,254,20230719_00180,ok
16,20230719,254,20230719_00184,ok
16,20230721,256,20230721_00106,ok
