"","table_name","column_name","type","min","mean","max","no_distict_values","values"
"1","composition","composition","TEXT",NA,NA,NA,15,""
"2","composition","richness","INTEGER",7,10.3333333333333,14,3,""
"3","composition","Chlamydomonas","INTEGER",1,1,1,1,""
"4","composition","Cryptomonas","INTEGER",1,1,1,1,""
"5","composition","Monoraphidium","INTEGER",0,0.4,1,2,""
"6","composition","Cosmarium","INTEGER",0,0.4,1,2,""
"7","composition","Staurastrum1","INTEGER",0,0.4,1,2,""
"8","composition","Staurastrum2","INTEGER",0,0.4,1,2,""
"9","composition","Desmodesmus","INTEGER",0,0.4,1,2,""
"10","composition","Tetrahymena","INTEGER",0,0.4,1,2,""
"11","composition","Colpidium","INTEGER",0,0.6,1,2,""
"12","composition","Loxocephallus","INTEGER",0,0.6,1,2,""
"13","composition","Dexiostoma","INTEGER",0,0.4,1,2,""
"14","composition","Paramecium_caudatum","INTEGER",0,0.6,1,2,""
"15","composition","Stylonychia1","INTEGER",0,0.4,1,2,""
"16","composition","Stylonychia2","INTEGER",0,0.4,1,2,""
"17","composition","Coleps_irchel","INTEGER",0,0.6,1,2,""
"18","composition","Paramecium_bursaria","INTEGER",0,0.666666666666667,1,2,""
"19","composition","Euplotes","INTEGER",0,0.666666666666667,1,2,""
"20","composition","Didinium","INTEGER",1,1,1,1,""
