"","table_name","column_name","type","min","mean","max","no_distict_values","values"
"bemovi_mag_16__mean_density_per_ml.1","bemovi_mag_16__mean_density_per_ml","timestamp","TEXT",NA,NA,NA,73,"20210920, 20210922, 20210924, 20210927, 20210929, 20211001, 20211004, 20211006, 20211008, 20211011, 20211013, 20211015, 20211018, 20211020, 20211022, 20211025, 20211027, 20211029, 20211101, 20211103, 20211105, 20211108, 20211110, 20211112, 20211115, ..., 20210920, 20210922, 20210924, 20210927, 20210929, 20211001, 20211004, 20211006, 20211008, 20211011, 20211013, 20211015, 20211018, 20211020, 20211022, 20211025, 20211027, 20211029, 20211101, 20211103, 20211105, 20211108, 20211110, 20211112, 20211115"
"bemovi_mag_16__mean_density_per_ml.2","bemovi_mag_16__mean_density_per_ml","date","TEXT",NA,NA,NA,73,"01.10.21, 01.11.21, 01.12.21, 02.02.22, 02.03.22, 03.01.22, 03.11.21, 03.12.21, 04.02.22, 04.03.22, 04.10.21, 05.01.22, 05.11.21, 06.10.21, 06.12.21, 07.01.22, 07.02.22, 07.03.22, 08.10.21, 08.11.21, 08.12.21, 09.02.22, 10.01.22, 10.11.21, 10.12.21, ..., 01.10.21, 01.11.21, 01.12.21, 02.02.22, 02.03.22, 03.01.22, 03.11.21, 03.12.21, 04.02.22, 04.03.22, 04.10.21, 05.01.22, 05.11.21, 06.10.21, 06.12.21, 07.01.22, 07.02.22, 07.03.22, 08.10.21, 08.11.21, 08.12.21, 09.02.22, 10.01.22, 10.11.21, 10.12.21"
"bemovi_mag_16__mean_density_per_ml.3","bemovi_mag_16__mean_density_per_ml","species","TEXT",NA,NA,NA,7,""
"bemovi_mag_16__mean_density_per_ml.4","bemovi_mag_16__mean_density_per_ml","composition_id","TEXT",NA,NA,NA,15,""
"bemovi_mag_16__mean_density_per_ml.5","bemovi_mag_16__mean_density_per_ml","bottle","TEXT",NA,NA,NA,30,""
"bemovi_mag_16__mean_density_per_ml.6","bemovi_mag_16__mean_density_per_ml","temperature_treatment","TEXT",NA,NA,NA,2,""
"bemovi_mag_16__mean_density_per_ml.7","bemovi_mag_16__mean_density_per_ml","magnification","INTEGER",16,16,16,1,""
"bemovi_mag_16__mean_density_per_ml.8","bemovi_mag_16__mean_density_per_ml","sample","INTEGER",1,1,1,1,""
"bemovi_mag_16__mean_density_per_ml.9","bemovi_mag_16__mean_density_per_ml","density","REAL",0,101.105685319712,2630.751264,4076,"NA"
"bemovi_mag_16__morph_mvt.1","bemovi_mag_16__morph_mvt","timestamp","TEXT",NA,NA,NA,73,"20210920, 20210922, 20210924, 20210927, 20210929, 20211001, 20211004, 20211006, 20211008, 20211011, 20211013, 20211015, 20211018, 20211020, 20211022, 20211025, 20211027, 20211029, 20211101, 20211103, 20211105, 20211108, 20211110, 20211112, 20211115, ..., 20210920, 20210922, 20210924, 20210927, 20210929, 20211001, 20211004, 20211006, 20211008, 20211011, 20211013, 20211015, 20211018, 20211020, 20211022, 20211025, 20211027, 20211029, 20211101, 20211103, 20211105, 20211108, 20211110, 20211112, 20211115"
"bemovi_mag_16__morph_mvt.2","bemovi_mag_16__morph_mvt","file","TEXT",NA,NA,NA,6136,"20210920_00091, 20210920_00092, 20210920_00093, 20210920_00094, 20210920_00095, 20210920_00096, 20210920_00097, 20210920_00098, 20210920_00099, 20210920_00100, 20210920_00101, 20210920_00102, 20210920_00103, 20210920_00104, 20210920_00105, 20210920_00106, 20210920_00107, 20210920_00108, 20210920_00109, 20210920_00110, 20210920_00111, 20210920_00112, 20210920_00113, 20210920_00114, 20210920_00115, ..., 20210920_00091, 20210920_00092, 20210920_00093, 20210920_00094, 20210920_00095, 20210920_00096, 20210920_00097, 20210920_00098, 20210920_00099, 20210920_00100, 20210920_00101, 20210920_00102, 20210920_00103, 20210920_00104, 20210920_00105, 20210920_00106, 20210920_00107, 20210920_00108, 20210920_00109, 20210920_00110, 20210920_00111, 20210920_00112, 20210920_00113, 20210920_00114, 20210920_00115"
"bemovi_mag_16__morph_mvt.3","bemovi_mag_16__morph_mvt","mean_grey","REAL",21.391,66.6556694783942,249.4113,556762,"NA"
"bemovi_mag_16__morph_mvt.4","bemovi_mag_16__morph_mvt","sd_grey","REAL",0.191329063673193,5.26698383596426,91.4063725591284,560018,"NA"
"bemovi_mag_16__morph_mvt.5","bemovi_mag_16__morph_mvt","mean_area","REAL",1038.557625,5540.81233877977,30769.5657714286,366256,"NA"
"bemovi_mag_16__morph_mvt.6","bemovi_mag_16__morph_mvt","sd_area","REAL",17.8935374820137,1255.54059701842,21574.1953129664,554714,"NA"
"bemovi_mag_16__morph_mvt.7","bemovi_mag_16__morph_mvt","mean_perimeter","REAL",113.587515714286,294.528943172698,2404.84128541667,551231,"NA"
"bemovi_mag_16__morph_mvt.8","bemovi_mag_16__morph_mvt","sd_perimeter","REAL",1.50974282865991,45.4316411786472,2119.76614151578,560017,"NA"
"bemovi_mag_16__morph_mvt.9","bemovi_mag_16__morph_mvt","mean_major","REAL",38.7392114285714,113.529179346317,562.799465454545,549020,"NA"
"bemovi_mag_16__morph_mvt.10","bemovi_mag_16__morph_mvt","sd_major","REAL",0.40459681567624,18.8972241994119,659.881099991931,560019,"NA"
"bemovi_mag_16__morph_mvt.11","bemovi_mag_16__morph_mvt","mean_minor","REAL",11.09162875,59.028172871782,129.604496969697,538526,"NA"
"bemovi_mag_16__morph_mvt.12","bemovi_mag_16__morph_mvt","sd_minor","REAL",0.24319122308161,7.14789487397159,54.7058024686481,560018,"NA"
"bemovi_mag_16__morph_mvt.13","bemovi_mag_16__morph_mvt","mean_ar","REAL",1.0626,1.93867256912773,20.753375,486094,"NA"
"bemovi_mag_16__morph_mvt.14","bemovi_mag_16__morph_mvt","sd_ar","REAL",0.00906917857360853,0.310221481727133,25.5791545215061,559976,"NA"
"bemovi_mag_16__morph_mvt.15","bemovi_mag_16__morph_mvt","mean_turning","REAL",-3.14,0.0034561327383533,3.14,629,"NA"
"bemovi_mag_16__morph_mvt.16","bemovi_mag_16__morph_mvt","sd_turning","REAL",0.01,0.500540820936384,3.26,302,"NA"
"bemovi_mag_16__morph_mvt.17","bemovi_mag_16__morph_mvt","duration","REAL",0.32,2.33124847549794,5,118,"NA"
