"","table_name","column_name","type","min","mean","max","no_distict_values","values"
"1","density","timestamp","TEXT",NA,NA,NA,78,"20210920, 20210922, 20210924, 20210927, 20210929, 20211001, 20211004, 20211006, 20211008, 20211011, 20211013, 20211015, 20211018, 20211020, 20211022, 20211025, 20211027, 20211029, 20211101, 20211103, 20211105, 20211108, 20211110, 20211112, 20211115, ..., 20210920, 20210922, 20210924, 20210927, 20210929, 20211001, 20211004, 20211006, 20211008, 20211011, 20211013, 20211015, 20211018, 20211020, 20211022, 20211025, 20211027, 20211029, 20211101, 20211103, 20211105, 20211108, 20211110, 20211112, 20211115"
"2","density","day","",0,4981.12013815258,365328,78,"NA"
"3","density","bottle","TEXT",NA,NA,NA,30,""
"4","density","measurement","",NA,NA,NA,7,"NA"
"5","density","species","TEXT",NA,NA,NA,32,""
"6","density","density","INTEGER",0,2771146.96970991,178512747.47187,59066,"0, 0.160704, 0.187488, 0.187488, 0.214272, 0.214272, 0.241056, 0.26784, 0.26784, 0.294624, 0.321408, 0.333333333333333, 0.348192, 0.373872, 0.374976, 0.374976, 0.40176, 0.428544, 0.428544, 0.436184, 0.436184, 0.455328, 0.455328, 0.482112, 0.498496, ..., 0, 0.160704, 0.187488, 0.187488, 0.214272, 0.214272, 0.241056, 0.26784, 0.26784, 0.294624, 0.321408, 0.333333333333333, 0.348192, 0.373872, 0.374976, 0.374976, 0.40176, 0.428544, 0.428544, 0.436184, 0.436184, 0.455328, 0.455328, 0.482112, 0.498496"
"7","density","temperature","TEXT",NA,NA,NA,2,""
"8","density","richness","INTEGER",7,10.7495827078325,14,3,""
"9","density","composition","TEXT",NA,NA,NA,15,""
"10","density","incubator","TEXT",NA,NA,NA,8,""
