"","table_name","column_name","type","min","mean","max","no_distict_values","values"
"1","flowcam__algae_traits","particle_id","INTEGER",1,13406.4787401069,47932,47688,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, ..., 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25"
"2","flowcam__algae_traits","area_abd","REAL",0.61,65.3469239481851,48811.52,18027,"NA"
"3","flowcam__algae_traits","area_filled","REAL",0.61,68.1043632432517,57710.73,18748,"NA"
"4","flowcam__algae_traits","aspect_ratio","REAL",0,0.558253727782711,1,9764,"NA"
"5","flowcam__algae_traits","average_blue","REAL",21.6448,109.583105471853,200.69,383069,"NA"
"6","flowcam__algae_traits","average_green","REAL",29.6319,116.420567623045,195.13,367926,"NA"
"7","flowcam__algae_traits","average_red","REAL",26.7798,119.675165374247,216.22,366051,"NA"
"8","flowcam__algae_traits","calibration_factor","REAL",0.5501,0.550142906443046,0.5535,2,"NA"
"9","flowcam__algae_traits","calibration_image","INTEGER",1,1,1,1,""
"10","flowcam__algae_traits","camera","INTEGER",1,1,1,1,""
"11","flowcam__algae_traits","capture_x","INTEGER",9,642.992272798898,1263,1255,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, ..., 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33"
"12","flowcam__algae_traits","capture_y","INTEGER",1,462.490421621838,960,960,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, ..., 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25"
"13","flowcam__algae_traits","ch1_area","INTEGER",0,0,0,1,""
"14","flowcam__algae_traits","ch1_peak","INTEGER",0,0,0,1,""
"15","flowcam__algae_traits","ch1_width","INTEGER",0,0,0,1,""
"16","flowcam__algae_traits","ch2_area","INTEGER",0,0,0,1,""
"17","flowcam__algae_traits","ch2_peak","INTEGER",0,0,0,1,""
"18","flowcam__algae_traits","ch2_width","INTEGER",0,0,0,1,""
"19","flowcam__algae_traits","ch2_ch1_ratio","INTEGER",0,0,0,1,""
"20","flowcam__algae_traits","circle_fit","REAL",0,0.551778696876153,0.97,9570,"NA"
"21","flowcam__algae_traits","circularity","REAL",0.01,0.626095170580396,1,9662,"NA"
"22","flowcam__algae_traits","circularity_hu","REAL",0.0106,0.685041926733772,1,9679,"NA"
