"","table_name","column_name","type","min","mean","max","no_distict_values","values"
"1","flowcytometer__flowcytometer_density","timestamp","TEXT",NA,NA,NA,73,"20210920, 20210922, 20210924, 20210927, 20210929, 20211001, 20211004, 20211006, 20211008, 20211011, 20211013, 20211015, 20211018, 20211020, 20211022, 20211025, 20211027, 20211029, 20211101, 20211103, 20211105, 20211108, 20211110, 20211112, 20211115, ..., 20210920, 20210922, 20210924, 20210927, 20210929, 20211001, 20211004, 20211006, 20211008, 20211011, 20211013, 20211015, 20211018, 20211020, 20211022, 20211025, 20211027, 20211029, 20211101, 20211103, 20211105, 20211108, 20211110, 20211112, 20211115"
"2","flowcytometer__flowcytometer_density","filename","TEXT",NA,NA,NA,96,"A01.fcs, A02.fcs, A03.fcs, A04.fcs, A05.fcs, A06.fcs, A07.fcs, A08.fcs, A09.fcs, A10.fcs, A11.fcs, A12.fcs, B01.fcs, B02.fcs, B03.fcs, B04.fcs, B05.fcs, B06.fcs, B07.fcs, B08.fcs, B09.fcs, B10.fcs, B11.fcs, B12.fcs, C01.fcs, ..., A01.fcs, A02.fcs, A03.fcs, A04.fcs, A05.fcs, A06.fcs, A07.fcs, A08.fcs, A09.fcs, A10.fcs, A11.fcs, A12.fcs, B01.fcs, B02.fcs, B03.fcs, B04.fcs, B05.fcs, B06.fcs, B07.fcs, B08.fcs, B09.fcs, B10.fcs, B11.fcs, B12.fcs, C01.fcs"
"3","flowcytometer__flowcytometer_density","bottle","TEXT",NA,NA,NA,32,""
"4","flowcytometer__flowcytometer_density","date","TEXT",NA,NA,NA,73,"2021-09-20, 2021-09-22, 2021-09-24, 2021-09-27, 2021-09-29, 2021-10-01, 2021-10-04, 2021-10-06, 2021-10-08, 2021-10-11, 2021-10-13, 2021-10-15, 2021-10-18, 2021-10-20, 2021-10-22, 2021-10-25, 2021-10-27, 2021-10-29, 2021-11-01, 2021-11-03, 2021-11-05, 2021-11-08, 2021-11-10, 2021-11-12, 2021-11-15, ..., 2021-09-20, 2021-09-22, 2021-09-24, 2021-09-27, 2021-09-29, 2021-10-01, 2021-10-04, 2021-10-06, 2021-10-08, 2021-10-11, 2021-10-13, 2021-10-15, 2021-10-18, 2021-10-20, 2021-10-22, 2021-10-25, 2021-10-27, 2021-10-29, 2021-11-01, 2021-11-03, 2021-11-05, 2021-11-08, 2021-11-10, 2021-11-12, 2021-11-15"
"5","flowcytometer__flowcytometer_density","sample","TEXT",NA,NA,NA,96,"A01, A02, A03, A04, A05, A06, A07, A08, A09, A10, A11, A12, B01, B02, B03, B04, B05, B06, B07, B08, B09, B10, B11, B12, C01, ..., A01, A02, A03, A04, A05, A06, A07, A08, A09, A10, A11, A12, B01, B02, B03, B04, B05, B06, B07, B08, B09, B10, B11, B12, C01"
"6","flowcytometer__flowcytometer_density","volume","INTEGER",11812,35032.96028004,35206,159,"11812, 12406, 15002, 17199, 20784, 25633, 28297, 28508, 28873, 29632, 33419, 33592, 33928, 34363, 35000, 35001, 35002, 35003, 35004, 35005, 35006, 35007, 35008, 35009, 35010, ..., 11812, 12406, 15002, 17199, 20784, 25633, 28297, 28508, 28873, 29632, 33419, 33592, 33928, 34363, 35000, 35001, 35002, 35003, 35004, 35005, 35006, 35007, 35008, 35009, 35010"
"7","flowcytometer__flowcytometer_density","total.counts","INTEGER",26,60039.2798971282,647304,6540,"26, 27, 28, 30, 31, 34, 35, 36, 37, 39, 41, 42, 43, 45, 48, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, ..., 26, 27, 28, 30, 31, 34, 35, 36, 37, 39, 41, 42, 43, 45, 48, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60"
"8","flowcytometer__flowcytometer_density","tot_density_perml","REAL",7423.26909350464,21969742.5524687,184390827.517448,6995,"NA"
"9","flowcytometer__flowcytometer_density","specname","TEXT",NA,NA,NA,6999,"A01.fcs_20210920_175438, A01.fcs_20210922_173555, A01.fcs_20210924_182942, A01.fcs_20210927_173146, A01.fcs_20210929_180234, A01.fcs_20211001_185339, A01.fcs_20211004_172049, A01.fcs_20211006_181222, A01.fcs_20211008_182124, A01.fcs_20211011_170008, A01.fcs_20211013_184832, A01.fcs_20211015_171319, A01.fcs_20211018_155749, A01.fcs_20211020_155422, A01.fcs_20211022_161036, A01.fcs_20211025_154350, A01.fcs_20211027_182616, A01.fcs_20211029_161713, A01.fcs_20211101_163521, A01.fcs_20211103_165018, A01.fcs_20211105_171834, A01.fcs_20211108_160149, A01.fcs_20211110_161513, A01.fcs_20211112_162419, A01.fcs_20211115_163941, ..., A01.fcs_20210920_175438, A01.fcs_20210922_173555, A01.fcs_20210924_182942, A01.fcs_20210927_173146, A01.fcs_20210929_180234, A01.fcs_20211001_185339, A01.fcs_20211004_172049, A01.fcs_20211006_181222, A01.fcs_20211008_182124, A01.fcs_20211011_170008, A01.fcs_20211013_184832, A01.fcs_20211015_171319, A01.fcs_20211018_155749, A01.fcs_20211020_155422, A01.fcs_20211022_161036, A01.fcs_20211025_154350, A01.fcs_20211027_182616, A01.fcs_20211029_161713, A01.fcs_20211101_163521, A01.fcs_20211103_165018, A01.fcs_20211105_171834, A01.fcs_20211108_160149, A01.fcs_20211110_161513, A01.fcs_20211112_162419, A01.fcs_20211115_163941"
"10","flowcytometer__flowcytometer_density","dilution_factor","INTEGER",10,16.6552364623518,30,2,""
"11","flowcytometer__flowcytometer_density","sample_letter","TEXT",NA,NA,NA,8,""
"12","flowcytometer__flowcytometer_density","sample_number","INTEGER",1,6.49407058151164,12,12,""
"13","flowcytometer__flowcytometer_density","species","TEXT",NA,NA,NA,5,""
"14","flowcytometer__flowcytometer_density","count","INTEGER",0,20444.8809258465,626669,18941,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, ..., 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
"15","flowcytometer__flowcytometer_density","density","REAL",0,7502915.06787659,178512747.47187,34054,"NA"
