"","table_name","column_name","type","min","mean","max","no_distict_values","values"
"1","o2","timestamp","TEXT",NA,NA,NA,72,"20210920, 20210922, 20210924, 20210927, 20210929, 20211001, 20211004, 20211006, 20211008, 20211011, 20211013, 20211015, 20211018, 20211020, 20211022, 20211025, 20211027, 20211029, 20211101, 20211103, 20211105, 20211108, 20211110, 20211112, 20211115, ..., 20210920, 20210922, 20210924, 20210927, 20210929, 20211001, 20211004, 20211006, 20211008, 20211011, 20211013, 20211015, 20211018, 20211020, 20211022, 20211025, 20211027, 20211029, 20211101, 20211103, 20211105, 20211108, 20211110, 20211112, 20211115"
"2","o2","day","",0,83.8344524195416,168,72,"NA"
"3","o2","bottle","TEXT",NA,NA,NA,30,""
"4","o2","sensor","INTEGER",4,6.50057883769391,9,2,""
"5","o2","temperature_actual","REAL",18,18,18,1,"NA"
"6","o2","percent_o2","REAL",19.827,24.858719379486,38.36,3296,"NA"
"7","o2","measurement","",NA,NA,NA,1,"NA"
"8","o2","temperature","TEXT",NA,NA,NA,2,""
"9","o2","richness","INTEGER",7,10.3334105116925,14,3,""
"10","o2","composition","TEXT",NA,NA,NA,15,""
"11","o2","incubator","TEXT",NA,NA,NA,8,""
