"","table_name","column_name","type","min","mean","max","no_distict_values","values"
"1","o2meter__o2meter","timestamp","TEXT",NA,NA,NA,72,"20210920, 20210922, 20210924, 20210927, 20210929, 20211001, 20211004, 20211006, 20211008, 20211011, 20211013, 20211015, 20211018, 20211020, 20211022, 20211025, 20211027, 20211029, 20211101, 20211103, 20211105, 20211108, 20211110, 20211112, 20211115, ..., 20210920, 20210922, 20210924, 20210927, 20210929, 20211001, 20211004, 20211006, 20211008, 20211011, 20211013, 20211015, 20211018, 20211020, 20211022, 20211025, 20211027, 20211029, 20211101, 20211103, 20211105, 20211108, 20211110, 20211112, 20211115"
"2","o2meter__o2meter","bottle","TEXT",NA,NA,NA,30,""
"3","o2meter__o2meter","sensor","INTEGER",4,6.50057883769391,9,2,""
"4","o2meter__o2meter","date","TEXT",NA,NA,NA,72,"01/03/2022, 01/05/2022, 01/07/2022, 01/10/2022, 01/12/2022, 01/14/2022, 01/17/2022, 01/19/2022, 01/21/2022, 01/24/2022, 01/26/2022, 01/28/2022, 01/31/2022, 02/02/2022, 02/04/2022, 02/07/2022, 02/09/2022, 02/11/2022, 02/14/2022, 02/16/2022, 02/18/2022, 02/21/2022, 02/23/2022, 02/25/2022, 02/28/2022, ..., 01/03/2022, 01/05/2022, 01/07/2022, 01/10/2022, 01/12/2022, 01/14/2022, 01/17/2022, 01/19/2022, 01/21/2022, 01/24/2022, 01/26/2022, 01/28/2022, 01/31/2022, 02/02/2022, 02/04/2022, 02/07/2022, 02/09/2022, 02/11/2022, 02/14/2022, 02/16/2022, 02/18/2022, 02/21/2022, 02/23/2022, 02/25/2022, 02/28/2022"
"5","o2meter__o2meter","time","TEXT",NA,NA,NA,2622,"01:13:14, 01:13:22, 01:13:31, 01:13:41, 01:13:49, 01:13:58, 01:14:06, 01:14:13, 01:15:47, 01:16:10, 01:16:18, 01:16:28, 01:16:34, 01:16:45, 01:16:52, 01:17:04, 01:18:33, 01:18:39, 01:18:46, 01:18:52, 01:18:59, 01:19:06, 01:19:13, 01:19:20, 01:21:01, ..., 01:13:14, 01:13:22, 01:13:31, 01:13:41, 01:13:49, 01:13:58, 01:14:06, 01:14:13, 01:15:47, 01:16:10, 01:16:18, 01:16:28, 01:16:34, 01:16:45, 01:16:52, 01:17:04, 01:18:33, 01:18:39, 01:18:46, 01:18:52, 01:18:59, 01:19:06, 01:19:13, 01:19:20, 01:21:01"
"6","o2meter__o2meter","channel","INTEGER",0,0,0,1,""
"7","o2meter__o2meter","user","TEXT",NA,NA,NA,2,""
"8","o2meter__o2meter","sensorid","INTEGER",69674,210962.606158833,298509,60,"69674, 69675, 69676, 69719, 69721, 69847, 92099, 92101, 92102, 92106, 92211, 92675, 92679, 92684, 92693, 92695, 92698, 231044, 231046, 231047, 231095, 231134, 231275, 231276, 231279, ..., 69674, 69675, 69676, 69719, 69721, 69847, 92099, 92101, 92102, 92106, 92211, 92675, 92679, 92684, 92693, 92695, 92698, 231044, 231046, 231047, 231095, 231134, 231275, 231276, 231279"
"9","o2meter__o2meter","sensor_name","TEXT",NA,NA,NA,60,"B_01_4, B_01_9, B_02_4, B_02_9, B_03_4, B_03_9, B_04_4, B_04_9, B_05_4, B_05_9, B_06_4, B_06_9, B_07_4, B_07_9, B_08_4, B_08_9, B_09_4, B_09_9, B_10_4, B_10_9, B_11_4, B_11_9, B_12_4, B_12_9, B_13_4, ..., B_01_4, B_01_9, B_02_4, B_02_9, B_03_4, B_03_9, B_04_4, B_04_9, B_05_4, B_05_9, B_06_4, B_06_9, B_07_4, B_07_9, B_08_4, B_08_9, B_09_4, B_09_9, B_10_4, B_10_9, B_11_4, B_11_9, B_12_4, B_12_9, B_13_4"
"10","o2meter__o2meter","delta_t","REAL",0.1,202898.94382033,441713.47,4317,"NA"
"11","o2meter__o2meter","time_unit","TEXT",NA,NA,NA,1,""
"12","o2meter__o2meter","value","REAL",19.827,24.8587193794859,38.36,3296,"NA"
"13","o2meter__o2meter","o2_unit","TEXT",NA,NA,NA,1,""
"14","o2meter__o2meter","mode","TEXT",NA,NA,NA,2,""
"15","o2meter__o2meter","phase","REAL",20.867,25.1851407733271,27.417,2349,"NA"
"16","o2meter__o2meter","phase_unit","TEXT",NA,NA,NA,1,""
