"","table_name","column_name","unit","description","comment"
"1","composition","composition",NA,NA,NA
"2","composition","richness",NA,NA,NA
"3","composition","Chlamydomonas",NA,NA,NA
"4","composition","Cryptomonas",NA,NA,NA
"5","composition","Monoraphidium",NA,NA,NA
"6","composition","Cosmarium",NA,NA,NA
"7","composition","Staurastrum1",NA,NA,NA
"8","composition","Staurastrum2",NA,NA,NA
"9","composition","Desmodesmus",NA,NA,NA
"10","composition","Tetrahymena",NA,NA,NA
"11","composition","Colpidium",NA,NA,NA
"12","composition","Loxocephallus",NA,NA,NA
"13","composition","Dexiostoma",NA,NA,NA
"14","composition","Paramecium_caudatum",NA,NA,NA
"15","composition","Stylonychia1",NA,NA,NA
"16","composition","Stylonychia2",NA,NA,NA
"17","composition","Coleps_irchel",NA,NA,NA
"18","composition","Paramecium_bursaria",NA,NA,NA
"19","composition","Euplotes",NA,NA,NA
"20","composition","Didinium",NA,NA,NA
