"","table_name","column_name","unit","description","comment"
"bemovi_mag_16__mean_density_per_ml.1","bemovi_mag_16__mean_density_per_ml","timestamp",NA,NA,NA
"bemovi_mag_16__mean_density_per_ml.2","bemovi_mag_16__mean_density_per_ml","date",NA,NA,NA
"bemovi_mag_16__mean_density_per_ml.3","bemovi_mag_16__mean_density_per_ml","species",NA,NA,NA
"bemovi_mag_16__mean_density_per_ml.4","bemovi_mag_16__mean_density_per_ml","composition_id",NA,NA,NA
"bemovi_mag_16__mean_density_per_ml.5","bemovi_mag_16__mean_density_per_ml","bottle",NA,NA,NA
"bemovi_mag_16__mean_density_per_ml.6","bemovi_mag_16__mean_density_per_ml","temperature_treatment",NA,NA,NA
"bemovi_mag_16__mean_density_per_ml.7","bemovi_mag_16__mean_density_per_ml","magnification",NA,NA,NA
"bemovi_mag_16__mean_density_per_ml.8","bemovi_mag_16__mean_density_per_ml","sample",NA,NA,NA
"bemovi_mag_16__mean_density_per_ml.9","bemovi_mag_16__mean_density_per_ml","density",NA,NA,NA
"bemovi_mag_16__morph_mvt.1","bemovi_mag_16__morph_mvt","timestamp",NA,NA,NA
"bemovi_mag_16__morph_mvt.2","bemovi_mag_16__morph_mvt","file",NA,NA,NA
"bemovi_mag_16__morph_mvt.3","bemovi_mag_16__morph_mvt","mean_grey",NA,NA,NA
"bemovi_mag_16__morph_mvt.4","bemovi_mag_16__morph_mvt","sd_grey",NA,NA,NA
"bemovi_mag_16__morph_mvt.5","bemovi_mag_16__morph_mvt","mean_area",NA,NA,NA
"bemovi_mag_16__morph_mvt.6","bemovi_mag_16__morph_mvt","sd_area",NA,NA,NA
"bemovi_mag_16__morph_mvt.7","bemovi_mag_16__morph_mvt","mean_perimeter",NA,NA,NA
"bemovi_mag_16__morph_mvt.8","bemovi_mag_16__morph_mvt","sd_perimeter",NA,NA,NA
"bemovi_mag_16__morph_mvt.9","bemovi_mag_16__morph_mvt","mean_major",NA,NA,NA
"bemovi_mag_16__morph_mvt.10","bemovi_mag_16__morph_mvt","sd_major",NA,NA,NA
"bemovi_mag_16__morph_mvt.11","bemovi_mag_16__morph_mvt","mean_minor",NA,NA,NA
"bemovi_mag_16__morph_mvt.12","bemovi_mag_16__morph_mvt","sd_minor",NA,NA,NA
"bemovi_mag_16__morph_mvt.13","bemovi_mag_16__morph_mvt","mean_ar",NA,NA,NA
"bemovi_mag_16__morph_mvt.14","bemovi_mag_16__morph_mvt","sd_ar",NA,NA,NA
"bemovi_mag_16__morph_mvt.15","bemovi_mag_16__morph_mvt","mean_turning",NA,NA,NA
"bemovi_mag_16__morph_mvt.16","bemovi_mag_16__morph_mvt","sd_turning",NA,NA,NA
"bemovi_mag_16__morph_mvt.17","bemovi_mag_16__morph_mvt","duration",NA,NA,NA
"bemovi_mag_16__morph_mvt.18","bemovi_mag_16__morph_mvt","n_frames",NA,NA,NA
"bemovi_mag_16__morph_mvt.19","bemovi_mag_16__morph_mvt","max_net",NA,NA,NA
"bemovi_mag_16__morph_mvt.20","bemovi_mag_16__morph_mvt","net_disp",NA,NA,NA
"bemovi_mag_16__morph_mvt.21","bemovi_mag_16__morph_mvt","net_speed",NA,NA,NA
"bemovi_mag_16__morph_mvt.22","bemovi_mag_16__morph_mvt","gross_disp",NA,NA,NA
"bemovi_mag_16__morph_mvt.23","bemovi_mag_16__morph_mvt","gross_speed",NA,NA,NA
"bemovi_mag_16__morph_mvt.24","bemovi_mag_16__morph_mvt","max_step",NA,NA,NA
"bemovi_mag_16__morph_mvt.25","bemovi_mag_16__morph_mvt","min_step",NA,NA,NA
"bemovi_mag_16__morph_mvt.26","bemovi_mag_16__morph_mvt","sd_step",NA,NA,NA
"bemovi_mag_16__morph_mvt.27","bemovi_mag_16__morph_mvt","sd_gross_speed",NA,NA,NA
"bemovi_mag_16__morph_mvt.28","bemovi_mag_16__morph_mvt","max_gross_speed",NA,NA,NA
"bemovi_mag_16__morph_mvt.29","bemovi_mag_16__morph_mvt","min_gross_speed",NA,NA,NA
"bemovi_mag_16__morph_mvt.30","bemovi_mag_16__morph_mvt","id",NA,NA,NA
"bemovi_mag_16__morph_mvt.31","bemovi_mag_16__morph_mvt","date",NA,NA,NA
"bemovi_mag_16__morph_mvt.32","bemovi_mag_16__morph_mvt","bottle",NA,NA,NA
"bemovi_mag_16__morph_mvt.33","bemovi_mag_16__morph_mvt","composition_id",NA,NA,NA
"bemovi_mag_16__morph_mvt.34","bemovi_mag_16__morph_mvt","temperature_treatment",NA,NA,NA
"bemovi_mag_16__morph_mvt.35","bemovi_mag_16__morph_mvt","magnification",NA,NA,NA
"bemovi_mag_16__morph_mvt.36","bemovi_mag_16__morph_mvt","dilution_factor",NA,NA,NA
"bemovi_mag_16__morph_mvt.37","bemovi_mag_16__morph_mvt","sample",NA,NA,NA
"bemovi_mag_16__morph_mvt.38","bemovi_mag_16__morph_mvt","video",NA,NA,NA
"bemovi_mag_16__morph_mvt.39","bemovi_mag_16__morph_mvt","species",NA,NA,NA
"bemovi_mag_16__morph_mvt.40","bemovi_mag_16__morph_mvt","species_probability",NA,NA,NA
"bemovi_mag_16__morph_mvt.41","bemovi_mag_16__morph_mvt","didinium_prob",NA,NA,NA
"bemovi_mag_16__morph_mvt.42","bemovi_mag_16__morph_mvt","paramecium_bursaria_prob",NA,NA,NA
"bemovi_mag_16__morph_mvt.43","bemovi_mag_16__morph_mvt","smaller_ciliates_prob",NA,NA,NA
"bemovi_mag_16__morph_mvt.44","bemovi_mag_16__morph_mvt","stylonychia1_prob",NA,NA,NA
"bemovi_mag_16__morph_mvt.45","bemovi_mag_16__morph_mvt","euplotes_prob",NA,NA,NA
"bemovi_mag_16__morph_mvt.46","bemovi_mag_16__morph_mvt","paramecium_caudatum_prob",NA,NA,NA
"bemovi_mag_16__morph_mvt.47","bemovi_mag_16__morph_mvt","stylonychia2_prob",NA,NA,NA
"bemovi_mag_16__morph_mvt.48","bemovi_mag_16__morph_mvt","coleps_irchel_prob",NA,NA,NA
"bemovi_mag_16__morph_mvt.49","bemovi_mag_16__morph_mvt","colpidium_prob",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml.1","bemovi_mag_25__mean_density_per_ml","timestamp",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml.2","bemovi_mag_25__mean_density_per_ml","date",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml.3","bemovi_mag_25__mean_density_per_ml","species",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml.4","bemovi_mag_25__mean_density_per_ml","composition_id",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml.5","bemovi_mag_25__mean_density_per_ml","bottle",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml.6","bemovi_mag_25__mean_density_per_ml","temperature_treatment",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml.7","bemovi_mag_25__mean_density_per_ml","magnification",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml.8","bemovi_mag_25__mean_density_per_ml","sample",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml.9","bemovi_mag_25__mean_density_per_ml","density",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_cropped.1","bemovi_mag_25__mean_density_per_ml_cropped","timestamp",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_cropped.2","bemovi_mag_25__mean_density_per_ml_cropped","date",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_cropped.3","bemovi_mag_25__mean_density_per_ml_cropped","species",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_cropped.4","bemovi_mag_25__mean_density_per_ml_cropped","composition_id",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_cropped.5","bemovi_mag_25__mean_density_per_ml_cropped","bottle",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_cropped.6","bemovi_mag_25__mean_density_per_ml_cropped","temperature_treatment",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_cropped.7","bemovi_mag_25__mean_density_per_ml_cropped","magnification",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_cropped.8","bemovi_mag_25__mean_density_per_ml_cropped","sample",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_cropped.9","bemovi_mag_25__mean_density_per_ml_cropped","density",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_non_cropped.1","bemovi_mag_25__mean_density_per_ml_non_cropped","timestamp",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_non_cropped.2","bemovi_mag_25__mean_density_per_ml_non_cropped","date",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_non_cropped.3","bemovi_mag_25__mean_density_per_ml_non_cropped","species",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_non_cropped.4","bemovi_mag_25__mean_density_per_ml_non_cropped","composition_id",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_non_cropped.5","bemovi_mag_25__mean_density_per_ml_non_cropped","bottle",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_non_cropped.6","bemovi_mag_25__mean_density_per_ml_non_cropped","temperature_treatment",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_non_cropped.7","bemovi_mag_25__mean_density_per_ml_non_cropped","magnification",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_non_cropped.8","bemovi_mag_25__mean_density_per_ml_non_cropped","sample",NA,NA,NA
"bemovi_mag_25__mean_density_per_ml_non_cropped.9","bemovi_mag_25__mean_density_per_ml_non_cropped","density",NA,NA,NA
"bemovi_mag_25__morph_mvt.1","bemovi_mag_25__morph_mvt","timestamp",NA,NA,NA
"bemovi_mag_25__morph_mvt.2","bemovi_mag_25__morph_mvt","file",NA,NA,NA
"bemovi_mag_25__morph_mvt.3","bemovi_mag_25__morph_mvt","mean_grey",NA,NA,NA
"bemovi_mag_25__morph_mvt.4","bemovi_mag_25__morph_mvt","sd_grey",NA,NA,NA
"bemovi_mag_25__morph_mvt.5","bemovi_mag_25__morph_mvt","mean_area",NA,NA,NA
"bemovi_mag_25__morph_mvt.6","bemovi_mag_25__morph_mvt","sd_area",NA,NA,NA
"bemovi_mag_25__morph_mvt.7","bemovi_mag_25__morph_mvt","mean_perimeter",NA,NA,NA
"bemovi_mag_25__morph_mvt.8","bemovi_mag_25__morph_mvt","sd_perimeter",NA,NA,NA
"bemovi_mag_25__morph_mvt.9","bemovi_mag_25__morph_mvt","mean_major",NA,NA,NA
"bemovi_mag_25__morph_mvt.10","bemovi_mag_25__morph_mvt","sd_major",NA,NA,NA
"bemovi_mag_25__morph_mvt.11","bemovi_mag_25__morph_mvt","mean_minor",NA,NA,NA
"bemovi_mag_25__morph_mvt.12","bemovi_mag_25__morph_mvt","sd_minor",NA,NA,NA
"bemovi_mag_25__morph_mvt.13","bemovi_mag_25__morph_mvt","mean_ar",NA,NA,NA
"bemovi_mag_25__morph_mvt.14","bemovi_mag_25__morph_mvt","sd_ar",NA,NA,NA
"bemovi_mag_25__morph_mvt.15","bemovi_mag_25__morph_mvt","mean_turning",NA,NA,NA
"bemovi_mag_25__morph_mvt.16","bemovi_mag_25__morph_mvt","sd_turning",NA,NA,NA
"bemovi_mag_25__morph_mvt.17","bemovi_mag_25__morph_mvt","duration",NA,NA,NA
"bemovi_mag_25__morph_mvt.18","bemovi_mag_25__morph_mvt","n_frames",NA,NA,NA
"bemovi_mag_25__morph_mvt.19","bemovi_mag_25__morph_mvt","max_net",NA,NA,NA
"bemovi_mag_25__morph_mvt.20","bemovi_mag_25__morph_mvt","net_disp",NA,NA,NA
"bemovi_mag_25__morph_mvt.21","bemovi_mag_25__morph_mvt","net_speed",NA,NA,NA
"bemovi_mag_25__morph_mvt.22","bemovi_mag_25__morph_mvt","gross_disp",NA,NA,NA
"bemovi_mag_25__morph_mvt.23","bemovi_mag_25__morph_mvt","gross_speed",NA,NA,NA
"bemovi_mag_25__morph_mvt.24","bemovi_mag_25__morph_mvt","max_step",NA,NA,NA
