"","table_name","column_name","unit","description","comment"
"1","o2meter__o2meter","timestamp",NA,NA,NA
"2","o2meter__o2meter","bottle",NA,NA,NA
"3","o2meter__o2meter","sensor",NA,NA,NA
"4","o2meter__o2meter","date",NA,NA,NA
"5","o2meter__o2meter","time",NA,NA,NA
"6","o2meter__o2meter","channel",NA,NA,NA
"7","o2meter__o2meter","user",NA,NA,NA
"8","o2meter__o2meter","sensorid",NA,NA,NA
"9","o2meter__o2meter","sensor_name",NA,NA,NA
"10","o2meter__o2meter","delta_t",NA,NA,NA
"11","o2meter__o2meter","time_unit",NA,NA,NA
"12","o2meter__o2meter","value",NA,NA,NA
"13","o2meter__o2meter","o2_unit",NA,NA,NA
"14","o2meter__o2meter","mode",NA,NA,NA
"15","o2meter__o2meter","phase",NA,NA,NA
"16","o2meter__o2meter","phase_unit",NA,NA,NA
"17","o2meter__o2meter","amplitude",NA,NA,NA
"18","o2meter__o2meter","amplitude_unit",NA,NA,NA
"19","o2meter__o2meter","temp",NA,NA,NA
"20","o2meter__o2meter","temp_unit",NA,NA,NA
"21","o2meter__o2meter","pressure",NA,NA,NA
"22","o2meter__o2meter","pressure_unit",NA,NA,NA
"23","o2meter__o2meter","salinity",NA,NA,NA
"24","o2meter__o2meter","salinity_unit",NA,NA,NA
"25","o2meter__o2meter","error",NA,NA,NA
"26","o2meter__o2meter","cal0",NA,NA,NA
"27","o2meter__o2meter","cal0_unit",NA,NA,NA
"28","o2meter__o2meter","t0",NA,NA,NA
"29","o2meter__o2meter","t0_unit",NA,NA,NA
"30","o2meter__o2meter","o2cal2nd",NA,NA,NA
"31","o2meter__o2meter","o2_unit1",NA,NA,NA
"32","o2meter__o2meter","cal2nd",NA,NA,NA
"33","o2meter__o2meter","cal2nd_unit",NA,NA,NA
"34","o2meter__o2meter","t2nd",NA,NA,NA
"35","o2meter__o2meter","t2nd_unit",NA,NA,NA
"36","o2meter__o2meter","calpressure",NA,NA,NA
"37","o2meter__o2meter","calpressure_unit",NA,NA,NA
"38","o2meter__o2meter","f1",NA,NA,NA
"39","o2meter__o2meter","dphi1",NA,NA,NA
"40","o2meter__o2meter","dksv1",NA,NA,NA
"41","o2meter__o2meter","dphi2",NA,NA,NA
"42","o2meter__o2meter","dksv2",NA,NA,NA
"43","o2meter__o2meter","m",NA,NA,NA
"44","o2meter__o2meter","cal_mode",NA,NA,NA
"45","o2meter__o2meter","signalledcurrent",NA,NA,NA
"46","o2meter__o2meter","user_signal_intensity",NA,NA,NA
"47","o2meter__o2meter","referenceledcurrent",NA,NA,NA
"48","o2meter__o2meter","reference_amplitude",NA,NA,NA
"49","o2meter__o2meter","device_serial",NA,NA,NA
"50","o2meter__o2meter","fwversion",NA,NA,NA
"51","o2meter__o2meter","swversion",NA,NA,NA
"52","o2meter__o2meter","sensor_type",NA,NA,NA
"53","o2meter__o2meter","batchid",NA,NA,NA
"54","o2meter__o2meter","calibration_date",NA,NA,NA
"55","o2meter__o2meter","sensor_lot",NA,NA,NA
"56","o2meter__o2meter","presens_calibr",NA,NA,NA
"57","o2meter__o2meter","battery_voltage",NA,NA,NA
"58","o2meter__o2meter","battery_voltage_unit",NA,NA,NA
